Direction;emailDIR;Date;Quoi ?;Type;Service;EmailSER;Cout TTC;Arbitrage ;Priorité;Suivi;Commentaire ?;TICKET;LIEN;DSI;SUIVI2;GRU
DAC;;04/11/2025;Matériels écrans d'affichages ou vidéoprojecteurs;Demande;CM;;6000;OK DSI;;Contacter fplichart@ivry94.fr pour suivi;Besoin Ecrans à salle Marat(2 salles) ou plutôt videoprojecteur: Créer ticket (Conservatoire) et relancer Mourad;;;;Manque 1 ENI avec Chariot;
CMS;;09/12/2025;Lecture Carte vitales;Incident;CMPP;;;;;Fait;"On ne peut plus lire les cartes vitales depuis plus un an au CMPP car le 
logiciel VITALEC ne fonctionne plus mais le problème est que le logiciel 
est géré directement par FAURE donc voir avec FAURE comment faire fonctionner
le logiciel mais nous n'avons pas de contrat de maintenance avec FAURE. Voir avec FAURE.";36278;Lien;YTA/SSD;;
DIRCOM;;09/09/2025;Borne Wifi Salle du conseil;Demande;GRU;;1000;OK DSI;;Fait;Besoin identifié pour les salles du Conseil municipal. Suivi confié à Sandie HERNANDO, en lien avec Pierre POILEVET (action semaine prochaine).;;;IRS;;
CMS;;09/12/2025;Tablette Remarkble;Demande;DS;;;;;Fait;Demande tablette REMARKBLE pour Grégory;;;SSD;;
DSALE;;18/11/2025;Logiciels IA;Demande;SE;;?;DG ;;A définir;"sur IA, demande de sites de référence que les agents peuvent utiliser, Besoin d'un référentiel
Demande pour acquérir un logiciel de retranscription de réunion entre autres";;;DSI;;
CCAS;;04/11/2025;Synbird;Projet;SPPAAVQ;;0;OK DSI;;A étudier contacter ytaraki@ivry94.fr;"Michel TESTA rappelle la nécessité d’intégrer Synbird dans le fonctionnement global. Le sujet a été reporté
faute de disponibilité, mais reste à planifier.";;;YTA;Licences déjà acquises;Oui
DAC;;04/11/2025;Billeterie;Demande;LUXY;;0;OK DSI ;;En cours d'étude Contacter claffrat@ivry94.fr;Pose la question de la mise en place d'une solution alternative en cas de panne serveur de la billeterie.;;;CLA;A étudier par IRS avec CLA voir si il y a une solution dégradée avec l'éditeur du logiciel;
CCAS;;04/11/2025;Millésime Attestations fiscales;Projet;SPPAAVQ;;?;OK DSI;;A planifier contacter ytaraki@ivry94.fr;Il est (potentiellement) prévu de paramétrer prochainement le modèle d’attestation fiscale sur l’application.;;;YTA;;
CCAS;;04/11/2025;Résidences autonomies;Projet;SALCI;;2500;DG 2026;3;En cours contacter ytaraki@ivry94.fr;"Abla KHOUDER demande s’il est possible d’installer des écrans d'affichage dynamique à l'accueil dans les
résidences Croizat et Chevalret pour diffuser des informations, photos et activités. Sujet relevant du service communication.";;;YTA;"Yassine TARAKI enverra à Abla KHOUDER une fiche d’opportunité 
pour préciser le nombre de matériels souhaités, indiquer la présence de réseau,définir le contenu envisagé ";Oui
CCAS;;04/11/2025;Millésime MAD problèmes de Facturation;Projet;CCAS;;;OK DSI;;Fait;"Les problèmes sont la correction de deux balises et un problème lié aux accents.
Yassine TARAKI précise qu’il reste une action manuelle à réaliser par le prestataire Arche-MC2 pour corriger ces anomalies.
Une correction définitive est en attente de mise en oeuvre par le prestataire.";;;YTA;"Yassine a contacté Arche-MC2 pour obtenir de la visibilité sur le correctif et vérifier si une action liée
aux accents est également prévue.";Oui
