
Liste des tickets avec taches GLPI migrees vers DSIHUB
Total: 11279 tickets, 15577 taches GLPI migrees
Ticket #96 | Archivage fichiers de pointage | 1 tache(s) | IDs GLPI: 51114
Ticket #238 | Impression CMS - Relance | 5 tache(s) | IDs GLPI: 51108,51109,51110,51111,51112
Ticket #241 | Modif Gutenberg3 | 1 tache(s) | IDs GLPI: 51107
Ticket #242 | Merci de passer en Admin e poste de   •	Mme VAN BUTSEL, UC11107  et de | 1 tache(s) | IDs GLPI: 51106
Ticket #243 | TRAKA - Armoire à clés en Mairie | 1 tache(s) | IDs GLPI: 51105
Ticket #249 | Icone BLSocial | 1 tache(s) | IDs GLPI: 51104
Ticket #272 | Demande de prêt pc portable jusqu'à fin 2019 | 2 tache(s) | IDs GLPI: 51096,51097
Ticket #274 | Pb cadrage Scan Fi-7030 | 1 tache(s) | IDs GLPI: 51095
Ticket #294 | Hello Djamel, Comme convenu, un petit ticket en lien avec la demande d | 1 tache(s) | IDs GLPI: 51094
Ticket #299 | TR: Création de droits pour Mme ADAM | 3 tache(s) | IDs GLPI: 51090,51091,51092
Ticket #304 | accès copieur \gutenberg2\Photo-Mairie-03 | 1 tache(s) | IDs GLPI: 51087
Ticket #305 | RE: Achat des Nouveaux scan à tester et à acheter début 2020 | 2 tache(s) | IDs GLPI: 51084,51085
Ticket #307 | ouverture de droits sur K | 1 tache(s) | IDs GLPI: 51081
Ticket #327 | TR: Livraison copieur | 2 tache(s) | IDs GLPI: 51079,51080
Ticket #328 | TR: TR: Demande urgente - POLE FAMILLE / EXEPDITON TPE CB | 5 tache(s) | IDs GLPI: 51073,51074,51075,51076,51077
Ticket #331 | Dossiers pilotes serveurs d'impression | 1 tache(s) | IDs GLPI: 51071
Ticket #332 | Installation du logiciel SPHINX | 3 tache(s) | IDs GLPI: 51067,51068,51069
Ticket #336 | TR: problème connexion réseau service Adars | 2 tache(s) | IDs GLPI: 51063,51064
Ticket #337 | Arrivée stagiaire le 4/11 | 1 tache(s) | IDs GLPI: 51059
Ticket #345 | Montée de version IE | 3 tache(s) | IDs GLPI: 51051,51052,51053
Ticket #352 | photocopieuse à déplacer | 1 tache(s) | IDs GLPI: 51047
Ticket #356 | Heure du PC | 1 tache(s) | IDs GLPI: 51041
Ticket #357 | Demande prêt disque USB 1 semaine | 2 tache(s) | IDs GLPI: 51038,51039
Ticket #358 | Impression hs sur Samsung ML2851  | 1 tache(s) | IDs GLPI: 51037
Ticket #359 | Ajout Station dans"Ordi Win10" | 1 tache(s) | IDs GLPI: 51036
Ticket #360 | demande de création dossier | 3 tache(s) | IDs GLPI: 51030,51031,51032
Ticket #361 | Problème connection | 3 tache(s) | IDs GLPI: 51025,51026,51028
Ticket #362 | DEMANDE DE RENSEIGNEMENTS SUR LA BOITE SELF | 2 tache(s) | IDs GLPI: 51021,51023
Ticket #364 | PO18028 - nouveau poste masteurisé - ajout membre de windows 10 | 1 tache(s) | IDs GLPI: 51018
Ticket #365 | demande de modification de mon " titre" associé à mon nom  | 1 tache(s) | IDs GLPI: 51015
Ticket #367 | Demandes pour tests "réseau" | 2 tache(s) | IDs GLPI: 51008,51010
Ticket #368 | Droits de modification | 1 tache(s) | IDs GLPI: 51006
Ticket #369 | Renouvellement MFC Hangar le 8/11 | 3 tache(s) | IDs GLPI: 51001,51003,51004
Ticket #371 | installation logiciel | 2 tache(s) | IDs GLPI: 50998,50999
Ticket #373 | DEMANDE DE QUOTA OUTLOOK | 1 tache(s) | IDs GLPI: 50995
Ticket #375 | changement URGENT D'ordinateur | 3 tache(s) | IDs GLPI: 50989,50992,50993
Ticket #376 | poste en cours de préparation | 1 tache(s) | IDs GLPI: 50987
Ticket #377 | Utlisateur W10 | 1 tache(s) | IDs GLPI: 50985
Ticket #379 | RE: AS-TECH Solutions suivi de la demande N°121122 : GESTION CARBURANTS / INTERFACE (INTERFACE PETROLIERE BI-DIRECTIONNELLE / Données - Import des données) (Réponse attendue) | 1 tache(s) | IDs GLPI: 50983
Ticket #380 | Modification docs sur K | 1 tache(s) | IDs GLPI: 50981
Ticket #381 | PROBLEME IMPRESSION PHOTOCOPIEUR | 1 tache(s) | IDs GLPI: 50979
Ticket #382 | Groupe réseau accès Sedit Web | 1 tache(s) | IDs GLPI: 50977
Ticket #384 | Fiche arrivée changement | 2 tache(s) | IDs GLPI: 50973,50974
Ticket #385 | Recensement | 3 tache(s) | IDs GLPI: 50969,50970,50971
Ticket #386 | Changement information UC 16 113 | 1 tache(s) | IDs GLPI: 50967
Ticket #387 | droits teamviewer | 1 tache(s) | IDs GLPI: 50964
Ticket #388 | PERDU BUREAU | 1 tache(s) | IDs GLPI: 50962
Ticket #390 | CHANGEMENT TEL AGENT SERVICE MTV | 1 tache(s) | IDs GLPI: 50959
Ticket #391 | Boite Mail et ouverture session MMe Jeanne Odile - Directrice MACF Maria Merian  | 2 tache(s) | IDs GLPI: 50956,50957
Ticket #392 | arrivée au sein du service EDC de Mme Ballereau" | 2 tache(s) | IDs GLPI: 50953,50954
Ticket #393 | Mise à jour ERP21 | 4 tache(s) | IDs GLPI: 50946,50947,50948,50949
Ticket #394 | O.U  WINDOWS 10 | 1 tache(s) | IDs GLPI: 50944
Ticket #395 | partage courriel | 1 tache(s) | IDs GLPI: 50942
Ticket #396 | Création d'un dossier sous K | 1 tache(s) | IDs GLPI: 50940
Ticket #398 | Problème avec son UC | 1 tache(s) | IDs GLPI: 50938
Ticket #400 | Utilisateurs à mettre dans l'O.U. WINDOWS 10 | 3 tache(s) | IDs GLPI: 50934,50935,50936
Ticket #402 | TR: ALERTE !!! AGORA NE SOUVRE PAS | 1 tache(s) | IDs GLPI: 50931
Ticket #404 | PROBLEME ADRESSE INTERNET BE | 1 tache(s) | IDs GLPI: 50928
Ticket #405 | TR: votre compte a ete pirate | 1 tache(s) | IDs GLPI: 50926
Ticket #407 | bourrage imprimante | 1 tache(s) | IDs GLPI: 50923
Ticket #408 | demande augmentation quota utilisateur | 1 tache(s) | IDs GLPI: 50921
Ticket #411 | Ordinateur | 3 tache(s) | IDs GLPI: 50914,50915,50916
Ticket #412 | Re: concerto plus ordinateur | 1 tache(s) | IDs GLPI: 50912
Ticket #414 | DROITS D'ECRITURE SUR LE LECTEUR I | 1 tache(s) | IDs GLPI: 50908
Ticket #415 | Création de compte | 2 tache(s) | IDs GLPI: 50906,50907
Ticket #416 | pb de pc caisse... | 1 tache(s) | IDs GLPI: 50903
Ticket #417 | TR: Demande d'ouverture de droits salle de réunion RECTIFICATIF | 1 tache(s) | IDs GLPI: 50901
Ticket #422 | Lecteur "X" Mme Cherifi | 1 tache(s) | IDs GLPI: 50897
Ticket #424 | Fiche arrivée changement service | 1 tache(s) | IDs GLPI: 50895
Ticket #425 | TR: création adresses génériques RECTIFICATIF | 1 tache(s) | IDs GLPI: 50893
Ticket #426 | remplacement ecran  | 1 tache(s) | IDs GLPI: 50891
Ticket #427 | Unité Poste Informatique  | 2 tache(s) | IDs GLPI: 50889,50890
Ticket #429 | Arrivee nouvel agent | 2 tache(s) | IDs GLPI: 50886,50887
Ticket #431 | demande d'intervention / UC18100 / Cyril MATEO | 1 tache(s) | IDs GLPI: 50883
Ticket #433 | suppression imp et photocopieur ancien service | 1 tache(s) | IDs GLPI: 50881
Ticket #434 | oubli mot de passe Imuse pour Anna Allard | 1 tache(s) | IDs GLPI: 50879
Ticket #436 | Ouverture Port | 1 tache(s) | IDs GLPI: 50876
Ticket #437 | pb affichage dossiers publics dans outlook | 1 tache(s) | IDs GLPI: 50873
Ticket #438 | CREATION DE COMPTE  | 1 tache(s) | IDs GLPI: 50871
Ticket #443 | Arrivée stagiaire | 4 tache(s) | IDs GLPI: 50863,50864,50865,50866
Ticket #450 | Ecran CAT | 1 tache(s) | IDs GLPI: 50852
Ticket #453 | UC 13 116 Serge Melaragni - Word.exe | 1 tache(s) | IDs GLPI: 50847
Ticket #454 | Bonjour,   Comme convenu avec Denis Kessler, vous trouverez ci-joint l | 6 tache(s) | IDs GLPI: 50840,50841,50842,50843,50844,50845
Ticket #460 | urgent poste 15055 en panne Mdq Gagarine  | 1 tache(s) | IDs GLPI: 50834
Ticket #462 | Urgent | 1 tache(s) | IDs GLPI: 50831
Ticket #464 | we transfert | 2 tache(s) | IDs GLPI: 50828,50829
Ticket #467 | Demande d ouverture ligne- Urgent | 1 tache(s) | IDs GLPI: 50824
Ticket #468 | TR: Imbert Coralie Fiche_arrivee_ | 1 tache(s) | IDs GLPI: 50822
Ticket #469 | Fiche arrivée | 2 tache(s) | IDs GLPI: 50819,50820
Ticket #470 | TR: Urgence MDQ Ivry Port | 2 tache(s) | IDs GLPI: 50816,50817
Ticket #471 | RE: demande de création dossier | 1 tache(s) | IDs GLPI: 50814
Ticket #472 | fichier PDF | 1 tache(s) | IDs GLPI: 50812
Ticket #474 | Problème nouveau scanne | 1 tache(s) | IDs GLPI: 50809
Ticket #476 | Maison de quartier Centre-ville Gagarine : demande de clef wifi | 1 tache(s) | IDs GLPI: 50805
Ticket #482 | Demande ajout copieur | 1 tache(s) | IDs GLPI: 50797
Ticket #483 | coupure réseaux HANGAR soir et weekend | 1 tache(s) | IDs GLPI: 50795
Ticket #486 | création / redirection adresse mail | 1 tache(s) | IDs GLPI: 50791
Ticket #487 | accès logiciel | 1 tache(s) | IDs GLPI: 50789
Ticket #488 | message alerte sur internet | 1 tache(s) | IDs GLPI: 50787
Ticket #489 | lenteurs dans Gestion des effectifs | 3 tache(s) | IDs GLPI: 50783,50784,50785
Ticket #492 | pas de son depuis changement écran | 1 tache(s) | IDs GLPI: 50779
Ticket #497 | accès fichiers excell nok sur clé usb | 1 tache(s) | IDs GLPI: 50777
Ticket #502 | demande installation Droit de Cité sur UC15083 pour Maud Morel | 2 tache(s) | IDs GLPI: 50773,50774
Ticket #503 | Clavier déffectueu, à changer | 1 tache(s) | IDs GLPI: 50771
Ticket #504 | Création groupe de sécurité | 2 tache(s) | IDs GLPI: 50768,50769
Ticket #506 | Question droits/accès Outlook | 1 tache(s) | IDs GLPI: 50765
Ticket #507 | TR: Question droits/accès Outlook | 2 tache(s) | IDs GLPI: 50763,50764
Ticket #513 | Forum RH des 21 et 22 novembre | 3 tache(s) | IDs GLPI: 50757,50758,50759
Ticket #517 | appareil à tickets Jules Coûtant | 2 tache(s) | IDs GLPI: 50750,50751
Ticket #519 | Installation logiciel Coriolis + création de compte  | 2 tache(s) | IDs GLPI: 50746,50747
Ticket #521 | plus de place sur le stockage réseau | 1 tache(s) | IDs GLPI: 50743
Ticket #523 | RE: Logiciels pour nouvel Ordinateur pour l'imprimante d'adressage | 1 tache(s) | IDs GLPI: 50739
Ticket #527 | Plus d'impressions via Gutenberg-TS\CMS-ACCUEIL-BOX | 1 tache(s) | IDs GLPI: 50735
Ticket #528 | adresse mail : modifier les destinataires | 1 tache(s) | IDs GLPI: 50733
Ticket #530 | RE: [GLPI #0000505] Nouveau suivi ARRIVE LE 4/11 - CHANGEMENT DE SERVICE | 1 tache(s) | IDs GLPI: 50730
Ticket #531 | liste des pc | 1 tache(s) | IDs GLPI: 50728
Ticket #533 | activation droits d'accès | 1 tache(s) | IDs GLPI: 50726
Ticket #535 | RE: ouverture sessions utilisateurs : nuit de la lecture | 2 tache(s) | IDs GLPI: 50722,50723
Ticket #536 | ouverture de session après 19h | 1 tache(s) | IDs GLPI: 50720
Ticket #538 | droit de cité | 2 tache(s) | IDs GLPI: 50717,50718
Ticket #540 | demande installation logiciels gratuits | 1 tache(s) | IDs GLPI: 50716
Ticket #541 | Problème Outlook | 1 tache(s) | IDs GLPI: 50713
Ticket #543 | Accès calendrier  | 1 tache(s) | IDs GLPI: 50711
Ticket #545 | Problèmes sur le disque X : DACJ | 2 tache(s) | IDs GLPI: 50707,50708
Ticket #546 | Installation TPE Niki | 1 tache(s) | IDs GLPI: 50705
Ticket #547 | ouverture de X DBC au BE | 1 tache(s) | IDs GLPI: 50703
Ticket #548 | accès à X( dbc) + création dossier  | 1 tache(s) | IDs GLPI: 50701
Ticket #549 | Création d'espaces individuels I: | 1 tache(s) | IDs GLPI: 50699
Ticket #550 | lecteur carte vitale nok | 1 tache(s) | IDs GLPI: 50697
Ticket #551 | Besoin d'aide pour installer une police téléchargée | 2 tache(s) | IDs GLPI: 50695,50696
Ticket #554 | Création d'un espace partagé sur K : | 1 tache(s) | IDs GLPI: 50693
Ticket #555 | UC14012 - pb ouverture fichiers pdf depuis navigateur Mozilla | 2 tache(s) | IDs GLPI: 50690,50691
Ticket #556 | Problème transfert fichiers sur uc16044 vers reseau | 1 tache(s) | IDs GLPI: 50689
Ticket #557 | TR: déménagement du service ERP - CAT direction des bâtiments communaux | 1 tache(s) | IDs GLPI: 50687
